model,aggregation,feature_dim,accuracy_mean,accuracy_std,accuracy_median,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_q025,balanced_accuracy_q975,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_q025,macro_f1_q975
gigapath,mean,1536,0.45399999999999996,0.06839262402049043,0.45,0.31124999999999997,0.55,0.4646031746031746,0.07163900184266558,0.4603174603174603,0.31845238095238093,0.5696428571428571,0.4462139237324995,0.06690397425492745,0.44979203802733214,0.3046978715728716,0.5478634383046148
gigapath,mean_std,3072,0.42599999999999993,0.050749484766661745,0.45,0.31124999999999997,0.5,0.4336507936507935,0.05117788747407717,0.4523809523809524,0.3123015873015873,0.5079365079365079,0.4067630920277979,0.046495421010733305,0.4181878306878307,0.3026443001443001,0.48888888888888893
gigapath,mean_std_median,4608,0.417,0.05856271712219896,0.4,0.31124999999999997,0.53875,0.4253968253968254,0.06029358639595614,0.4126984126984126,0.3123015873015873,0.5527777777777776,0.40170139011315487,0.05475481406426929,0.39804639804639796,0.3015728715728716,0.506007385860327
gigapath,mean_std_quantiles,7680,0.424,0.05554920598635311,0.42500000000000004,0.35,0.53875,0.433015873015873,0.0580374845028337,0.4325396825396825,0.34920634920634913,0.5527777777777776,0.4105503091679562,0.05278018484421832,0.4095776772247361,0.3297143705967236,0.5264874708624708
uni_v2,mean,1536,0.5050000000000001,0.0632858755238191,0.5,0.36125,0.6,0.5106349206349207,0.06484646276962486,0.5079365079365079,0.36607142857142855,0.611111111111111,0.5035397413044471,0.06261198536450445,0.5009157509157509,0.3646492396492397,0.6007326007326007
uni_v2,mean_std,3072,0.4829999999999999,0.05856271712219895,0.5,0.4,0.5887499999999999,0.4892063492063492,0.058645611053747757,0.503968253968254,0.4047619047619047,0.588095238095238,0.47776502908855845,0.06125000742800431,0.494017094017094,0.3871794871794872,0.5859249084249083
uni_v2,mean_std_median,4608,0.503,0.05092010548749033,0.5,0.41125,0.6,0.5104761904761904,0.051420452313955374,0.5079365079365079,0.41547619047619055,0.611111111111111,0.4970717245717246,0.05374370693728874,0.4981684981684982,0.4059257409257409,0.599496336996337
uni_v2,mean_std_quantiles,7680,0.5169999999999999,0.05856271712219895,0.5,0.4,0.6,0.5234920634920635,0.059021419449954995,0.5158730158730158,0.4065476190476191,0.611111111111111,0.5132010767010766,0.05981140499773692,0.5034798534798535,0.3971703296703296,0.6041391941391941
virchow2,mean,2560,0.43200000000000005,0.0800255061380624,0.45,0.3,0.6,0.4339682539682539,0.08124498526600868,0.4523809523809524,0.30158730158730157,0.6013888888888889,0.43050821400821393,0.08339193954636277,0.44178599178599176,0.2884340659340659,0.5975856782106782
virchow2,mean_std,5120,0.371,0.05159694659530915,0.4,0.3,0.45,0.37714285714285706,0.05466310811181627,0.39682539682539675,0.30158730158730157,0.4603174603174603,0.35574959354371116,0.047571959605905406,0.3694600062247121,0.2807182400932401,0.448889652014652
virchow2,mean_std_median,7680,0.38500000000000006,0.06247448458762823,0.4,0.3,0.5,0.38968253968253963,0.06432179737360705,0.40079365079365076,0.29543650793650794,0.5061507936507936,0.37549558502499686,0.0628042270342169,0.37407407407407406,0.2891774891774892,0.49826312576312576
virchow2,mean_std_quantiles,12800,0.392,0.07024737630368143,0.4,0.3,0.55,0.3958730158730158,0.07166465681699505,0.3968253968253968,0.29543650793650794,0.5537698412698413,0.3857118317412435,0.07166422076412149,0.37898536648536646,0.2915010683760684,0.5490384615384615
