model,repeat,fold,accuracy,balanced_accuracy,macro_f1
gigapath,1,1,0.5,0.5,0.38888888888888884
gigapath,1,2,0.5,0.5,0.4444444444444444
gigapath,1,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,1,4,0.25,0.3333333333333333,0.13333333333333333
gigapath,1,5,0.5,0.5,0.38888888888888884
gigapath,2,1,0.5,0.3333333333333333,0.26666666666666666
gigapath,2,2,0.25,0.16666666666666666,0.16666666666666666
gigapath,2,3,0.25,0.16666666666666666,0.2222222222222222
gigapath,2,4,0.5,0.5,0.38888888888888884
gigapath,2,5,0.75,0.8333333333333334,0.7777777777777777
gigapath,3,1,0.75,0.6666666666666666,0.6
gigapath,3,2,0.75,0.6666666666666666,0.5555555555555555
gigapath,3,3,0.5,0.5,0.4444444444444444
gigapath,3,4,0.25,0.3333333333333333,0.16666666666666666
gigapath,3,5,0.5,0.5,0.4444444444444444
gigapath,4,1,0.5,0.5,0.38888888888888884
gigapath,4,2,0.5,0.6666666666666666,0.5
gigapath,4,3,0.75,0.6666666666666666,0.5555555555555555
gigapath,4,4,0.0,0.0,0.0
gigapath,4,5,0.5,0.6666666666666666,0.5
gigapath,5,1,0.0,0.0,0.0
gigapath,5,2,0.75,0.8333333333333334,0.7777777777777777
gigapath,5,3,0.5,0.5,0.38888888888888884
gigapath,5,4,0.5,0.6666666666666666,0.5
gigapath,5,5,0.5,0.6666666666666666,0.4444444444444444
gigapath,6,1,0.5,0.3333333333333333,0.3333333333333333
gigapath,6,2,0.5,0.3333333333333333,0.26666666666666666
gigapath,6,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,6,4,0.25,0.16666666666666666,0.13333333333333333
gigapath,6,5,0.25,0.3333333333333333,0.13333333333333333
gigapath,7,1,0.5,0.6666666666666666,0.5
gigapath,7,2,0.25,0.16666666666666666,0.16666666666666666
gigapath,7,3,0.5,0.5,0.4444444444444444
gigapath,7,4,0.5,0.5,0.38888888888888884
gigapath,7,5,0.25,0.3333333333333333,0.13333333333333333
gigapath,8,1,0.75,0.6666666666666666,0.6
gigapath,8,2,0.5,0.5,0.4444444444444444
gigapath,8,3,0.25,0.16666666666666666,0.13333333333333333
gigapath,8,4,0.25,0.16666666666666666,0.16666666666666666
gigapath,8,5,0.5,0.5,0.38888888888888884
gigapath,9,1,0.75,0.6666666666666666,0.6
gigapath,9,2,0.5,0.5,0.38888888888888884
gigapath,9,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,9,4,0.25,0.3333333333333333,0.13333333333333333
gigapath,9,5,0.5,0.6666666666666666,0.4444444444444444
gigapath,10,1,0.5,0.5,0.38888888888888884
gigapath,10,2,0.5,0.5,0.5
gigapath,10,3,0.5,0.3333333333333333,0.26666666666666666
gigapath,10,4,0.25,0.3333333333333333,0.13333333333333333
gigapath,10,5,0.25,0.16666666666666666,0.16666666666666666
gigapath,11,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,11,2,0.25,0.3333333333333333,0.16666666666666666
gigapath,11,3,0.75,0.6666666666666666,0.5555555555555555
gigapath,11,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,11,5,0.5,0.5,0.38888888888888884
gigapath,12,1,0.25,0.16666666666666666,0.2222222222222222
gigapath,12,2,0.5,0.5,0.4444444444444444
gigapath,12,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,12,4,0.5,0.6666666666666666,0.5
gigapath,12,5,0.5,0.6666666666666666,0.5
gigapath,13,1,0.75,0.6666666666666666,0.6
gigapath,13,2,0.25,0.3333333333333333,0.16666666666666666
gigapath,13,3,0.5,0.5,0.4444444444444444
gigapath,13,4,0.5,0.5,0.38888888888888884
gigapath,13,5,0.25,0.3333333333333333,0.2222222222222222
gigapath,14,1,0.25,0.16666666666666666,0.16666666666666666
gigapath,14,2,0.5,0.6666666666666666,0.5
gigapath,14,3,0.5,0.5,0.4444444444444444
gigapath,14,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,14,5,0.5,0.6666666666666666,0.5
gigapath,15,1,0.75,0.8333333333333334,0.7777777777777777
gigapath,15,2,0.5,0.5,0.38888888888888884
gigapath,15,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,15,4,0.25,0.3333333333333333,0.2222222222222222
gigapath,15,5,0.25,0.3333333333333333,0.13333333333333333
gigapath,16,1,0.75,0.6666666666666666,0.6
gigapath,16,2,0.5,0.5,0.4444444444444444
gigapath,16,3,0.5,0.5,0.4444444444444444
gigapath,16,4,0.5,0.5,0.38888888888888884
gigapath,16,5,0.5,0.6666666666666666,0.5
gigapath,17,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,17,2,0.0,0.0,0.0
gigapath,17,3,0.25,0.16666666666666666,0.16666666666666666
gigapath,17,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,17,5,0.5,0.5,0.5
gigapath,18,1,0.5,0.3333333333333333,0.2222222222222222
gigapath,18,2,0.5,0.6666666666666666,0.5
gigapath,18,3,0.75,0.6666666666666666,0.5555555555555555
gigapath,18,4,0.5,0.5,0.4444444444444444
gigapath,18,5,0.5,0.6666666666666666,0.4444444444444444
gigapath,19,1,0.75,0.6666666666666666,0.6
gigapath,19,2,0.5,0.5,0.4444444444444444
gigapath,19,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,19,4,0.5,0.6666666666666666,0.5
gigapath,19,5,0.25,0.16666666666666666,0.16666666666666666
gigapath,20,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,20,2,0.75,0.6666666666666666,0.5555555555555555
gigapath,20,3,0.5,0.5,0.38888888888888884
gigapath,20,4,0.25,0.16666666666666666,0.16666666666666666
gigapath,20,5,0.5,0.5,0.38888888888888884
gigapath,21,1,0.5,0.5,0.4444444444444444
gigapath,21,2,0.5,0.5,0.38888888888888884
gigapath,21,3,0.5,0.5,0.38888888888888884
gigapath,21,4,0.25,0.3333333333333333,0.13333333333333333
gigapath,21,5,0.5,0.6666666666666666,0.5
gigapath,22,1,0.75,0.6666666666666666,0.5555555555555555
gigapath,22,2,0.5,0.5,0.4444444444444444
gigapath,22,3,0.5,0.3333333333333333,0.26666666666666666
gigapath,22,4,0.5,0.5,0.38888888888888884
gigapath,22,5,0.5,0.5,0.38888888888888884
gigapath,23,1,0.25,0.16666666666666666,0.16666666666666666
gigapath,23,2,0.25,0.3333333333333333,0.13333333333333333
gigapath,23,3,0.5,0.5,0.38888888888888884
gigapath,23,4,1.0,1.0,1.0
gigapath,23,5,0.5,0.6666666666666666,0.5
gigapath,24,1,0.75,0.6666666666666666,0.6
gigapath,24,2,0.0,0.0,0.0
gigapath,24,3,0.5,0.5,0.38888888888888884
gigapath,24,4,0.5,0.5,0.5
gigapath,24,5,0.5,0.6666666666666666,0.5
gigapath,25,1,0.5,0.3333333333333333,0.2222222222222222
gigapath,25,2,0.25,0.3333333333333333,0.16666666666666666
gigapath,25,3,0.5,0.3333333333333333,0.26666666666666666
gigapath,25,4,0.5,0.5,0.38888888888888884
gigapath,25,5,0.5,0.6666666666666666,0.5
gigapath,26,1,0.75,0.8333333333333334,0.7777777777777777
gigapath,26,2,0.25,0.3333333333333333,0.2222222222222222
gigapath,26,3,0.25,0.16666666666666666,0.16666666666666666
gigapath,26,4,0.5,0.6666666666666666,0.4444444444444444
gigapath,26,5,0.5,0.5,0.38888888888888884
gigapath,27,1,0.5,0.5,0.38888888888888884
gigapath,27,2,0.5,0.5,0.4444444444444444
gigapath,27,3,0.25,0.3333333333333333,0.16666666666666666
gigapath,27,4,0.5,0.6666666666666666,0.5
gigapath,27,5,0.25,0.3333333333333333,0.3333333333333333
gigapath,28,1,0.5,0.5,0.38888888888888884
gigapath,28,2,0.5,0.5,0.38888888888888884
gigapath,28,3,0.5,0.5,0.4444444444444444
gigapath,28,4,0.5,0.5,0.38888888888888884
gigapath,28,5,0.5,0.5,0.5
gigapath,29,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,29,2,0.25,0.3333333333333333,0.3333333333333333
gigapath,29,3,0.5,0.5,0.4444444444444444
gigapath,29,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,29,5,0.5,0.6666666666666666,0.5
gigapath,30,1,0.5,0.3333333333333333,0.2222222222222222
gigapath,30,2,0.75,0.8333333333333334,0.7777777777777777
gigapath,30,3,0.25,0.16666666666666666,0.16666666666666666
gigapath,30,4,0.5,0.5,0.38888888888888884
gigapath,30,5,0.25,0.3333333333333333,0.16666666666666666
gigapath,31,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,31,2,0.75,0.8333333333333334,0.7777777777777777
gigapath,31,3,0.5,0.5,0.5
gigapath,31,4,0.5,0.6666666666666666,0.5
gigapath,31,5,0.5,0.5,0.38888888888888884
gigapath,32,1,0.5,0.3333333333333333,0.2222222222222222
gigapath,32,2,0.75,0.6666666666666666,0.5555555555555555
gigapath,32,3,0.5,0.5,0.38888888888888884
gigapath,32,4,0.25,0.16666666666666666,0.16666666666666666
gigapath,32,5,0.25,0.3333333333333333,0.13333333333333333
gigapath,33,1,0.5,0.5,0.38888888888888884
gigapath,33,2,0.5,0.5,0.4444444444444444
gigapath,33,3,0.75,0.6666666666666666,0.5555555555555555
gigapath,33,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,33,5,0.5,0.6666666666666666,0.5
gigapath,34,1,0.75,0.8333333333333334,0.7777777777777777
gigapath,34,2,0.5,0.5,0.38888888888888884
gigapath,34,3,0.5,0.5,0.4444444444444444
gigapath,34,4,0.5,0.5,0.38888888888888884
gigapath,34,5,0.25,0.3333333333333333,0.16666666666666666
gigapath,35,1,0.0,0.0,0.0
gigapath,35,2,0.25,0.3333333333333333,0.3333333333333333
gigapath,35,3,0.5,0.5,0.38888888888888884
gigapath,35,4,0.5,0.5,0.38888888888888884
gigapath,35,5,0.25,0.3333333333333333,0.16666666666666666
gigapath,36,1,0.5,0.5,0.4444444444444444
gigapath,36,2,0.5,0.5,0.38888888888888884
gigapath,36,3,0.25,0.16666666666666666,0.16666666666666666
gigapath,36,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,36,5,0.0,0.0,0.0
gigapath,37,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,37,2,0.25,0.16666666666666666,0.16666666666666666
gigapath,37,3,0.0,0.0,0.0
gigapath,37,4,0.75,0.8333333333333334,0.7777777777777777
