repeat,fold,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
1,1,0.5,0.5,0.38888888888888884,0.0,0.0,0.0
1,2,0.5,0.5,0.38888888888888884,0.0,0.0,0.0
1,3,0.25,0.16666666666666666,0.13333333333333333,0.5,0.5,0.38888888888888884
1,4,0.25,0.3333333333333333,0.13333333333333333,0.25,0.16666666666666666,0.13333333333333333
1,5,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.5,0.5,0.5,0.0,0.0,0.0
2,2,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
2,3,0.25,0.16666666666666666,0.2222222222222222,0.5,0.5,0.4444444444444444
2,4,0.0,0.0,0.0,0.25,0.16666666666666666,0.13333333333333333
2,5,0.25,0.3333333333333333,0.2222222222222222,0.5,0.5,0.38888888888888884
3,1,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.13333333333333333
3,2,0.5,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.2222222222222222
3,3,0.75,0.6666666666666666,0.5555555555555555,0.5,0.5,0.38888888888888884
3,4,0.25,0.3333333333333333,0.2222222222222222,0.25,0.16666666666666666,0.13333333333333333
3,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.13333333333333333
4,1,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
4,2,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
4,3,0.75,0.6666666666666666,0.5555555555555555,0.5,0.5,0.38888888888888884
4,4,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.16666666666666666
5,1,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0.5,0.5,0.5,0.25,0.3333333333333333,0.13333333333333333
5,3,0.75,0.6666666666666666,0.6,0.75,0.6666666666666666,0.6
5,4,0.5,0.5,0.4444444444444444,0.5,0.5,0.38888888888888884
5,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
6,1,0.75,0.6666666666666666,0.5555555555555555,0.0,0.0,0.0
6,2,0.5,0.3333333333333333,0.26666666666666666,0.25,0.16666666666666666,0.13333333333333333
