repeat,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
1,0.45,0.4523809523809524,0.4161793372319688,0.4,0.3968253968253968,0.40005827505827507
2,0.5,0.5158730158730159,0.4341736694677871,0.45,0.4365079365079365,0.4161793372319688
3,0.5,0.5158730158730159,0.42328042328042326,0.3,0.29365079365079366,0.26772486772486775
4,0.4,0.4047619047619048,0.3333333333333333,0.35,0.3333333333333333,0.291005291005291
5,0.45,0.4523809523809524,0.43345216874628645,0.25,0.25396825396825395,0.26304675716440423
6,0.55,0.5634920634920635,0.5156695156695158,0.35,0.34920634920634924,0.36103330220977276
7,0.45,0.4523809523809524,0.41659125188536955,0.4,0.38888888888888884,0.37606837606837606
8,0.5,0.5158730158730159,0.42328042328042326,0.3,0.29365079365079366,0.29116059379217274
9,0.55,0.5634920634920635,0.5082477435418612,0.35,0.34920634920634924,0.3618233618233618
10,0.5,0.5158730158730159,0.4318488529014845,0.3,0.29365079365079366,0.29523809523809524
11,0.55,0.5634920634920635,0.5156695156695158,0.3,0.30158730158730157,0.32539682539682535
12,0.45,0.4603174603174603,0.3805668016194332,0.35,0.3412698412698412,0.33815987933635
13,0.5,0.5158730158730159,0.4318488529014845,0.35,0.3412698412698412,0.3255360623781676
14,0.5,0.5158730158730159,0.42328042328042326,0.4,0.38888888888888884,0.37433862433862436
15,0.55,0.5634920634920635,0.5082477435418612,0.35,0.3412698412698412,0.3261749144102085
16,0.5,0.5158730158730159,0.4415954415954417,0.25,0.25396825396825395,0.2702380952380952
17,0.5,0.5158730158730159,0.42328042328042326,0.25,0.24603174603174602,0.24774354186118894
18,0.5,0.5158730158730159,0.41830065359477125,0.35,0.34920634920634913,0.33429027113237636
19,0.45,0.4603174603174603,0.3805668016194332,0.35,0.34920634920634924,0.362037037037037
20,0.5,0.5158730158730158,0.4714285714285715,0.4,0.38888888888888884,0.37606837606837606
21,0.55,0.5634920634920635,0.5082477435418612,0.4,0.3968253968253968,0.40119047619047615
22,0.4,0.4047619047619048,0.34054834054834054,0.35,0.3412698412698412,0.33240740740740743
23,0.45,0.4682539682539682,0.3790849673202614,0.3,0.29365079365079366,0.2888888888888889
24,0.4,0.42063492063492064,0.3333333333333333,0.3,0.29365079365079366,0.28695922813569874
25,0.5,0.5079365079365079,0.4678733031674209,0.3,0.29365079365079366,0.29116059379217274
26,0.55,0.5634920634920635,0.5082477435418612,0.4,0.38888888888888884,0.3637566137566138
27,0.5,0.5158730158730159,0.4318488529014845,0.3,0.29365079365079366,0.287962962962963
28,0.5,0.5158730158730159,0.4318488529014845,0.35,0.3412698412698412,0.3247863247863248
29,0.55,0.5634920634920635,0.5082477435418612,0.4,0.3968253968253968,0.4000000000000001
30,0.45,0.4682539682539682,0.3949579831932773,0.35,0.3412698412698412,0.33431372549019606
31,0.5,0.5158730158730159,0.42328042328042326,0.3,0.29365079365079366,0.2868778280542987
32,0.55,0.5634920634920635,0.5082477435418612,0.35,0.3412698412698412,0.3345238095238095
33,0.5,0.5158730158730159,0.42328042328042326,0.35,0.34920634920634913,0.3595238095238095
34,0.5,0.5158730158730159,0.42328042328042326,0.3,0.29365079365079366,0.28690476190476194
35,0.4,0.4047619047619047,0.3814814814814815,0.25,0.24603174603174605,0.23597883597883595
36,0.55,0.5634920634920635,0.5082477435418612,0.35,0.3412698412698412,0.3277777777777778
37,0.5,0.5158730158730159,0.41830065359477125,0.4,0.38888888888888884,0.37606837606837606
38,0.55,0.5634920634920635,0.5296296296296296,0.4,0.3968253968253968,0.4124183006535948
39,0.5,0.5158730158730159,0.4044117647058824,0.25,0.24603174603174605,0.24206349206349206
40,0.45,0.4603174603174603,0.38888888888888884,0.35,0.3412698412698412,0.3261749144102085
41,0.45,0.4682539682539682,0.3790849673202614,0.35,0.3412698412698412,0.32861952861952864
42,0.55,0.5634920634920635,0.5082477435418612,0.35,0.34920634920634913,0.34978354978354975
43,0.45,0.4603174603174603,0.38655462184873945,0.25,0.24603174603174605,0.2333333333333333
44,0.35,0.35714285714285715,0.30952380952380953,0.25,0.25396825396825395,0.2222222222222222
45,0.5,0.5158730158730159,0.41830065359477125,0.3,0.29365079365079366,0.28518518518518515
46,0.5,0.5158730158730159,0.4444444444444445,0.4,0.38888888888888884,0.3637566137566138
47,0.5,0.5158730158730159,0.42328042328042326,0.35,0.3412698412698412,0.33815987933635
48,0.5,0.5158730158730159,0.4341736694677871,0.35,0.34920634920634924,0.35555555555555557
49,0.4,0.42063492063492064,0.3333333333333333,0.1,0.10317460317460318,0.1111111111111111
50,0.35,0.35714285714285715,0.3151515151515151,0.3,0.2857142857142857,0.23703703703703702
