model,aggregation,repeat,feature_dim,accuracy,balanced_accuracy,macro_f1
gigapath,mean,1,1536,0.5,0.5158730158730158,0.48821548821548816
gigapath,mean,2,1536,0.45,0.4603174603174603,0.44979203802733214
gigapath,mean,3,1536,0.55,0.5634920634920634,0.5395127748068925
gigapath,mean,4,1536,0.45,0.4523809523809524,0.4606643356643357
gigapath,mean,5,1536,0.45,0.4523809523809524,0.4542124542124542
gigapath,mean,6,1536,0.45,0.4603174603174603,0.4444444444444444
gigapath,mean,7,1536,0.4,0.4047619047619048,0.40938228438228436
gigapath,mean,8,1536,0.45,0.4603174603174603,0.4444444444444444
gigapath,mean,9,1536,0.55,0.5634920634920634,0.5395127748068925
gigapath,mean,10,1536,0.4,0.4047619047619048,0.39829059829059826
gigapath,mean,11,1536,0.5,0.5158730158730158,0.48821548821548816
gigapath,mean,12,1536,0.5,0.5158730158730158,0.47890671420083186
gigapath,mean,13,1536,0.45,0.4603174603174603,0.44979203802733214
gigapath,mean,14,1536,0.5,0.5158730158730158,0.483957219251337
gigapath,mean,15,1536,0.5,0.5079365079365079,0.5002970885323826
gigapath,mean,16,1536,0.55,0.5714285714285714,0.5157342657342657
gigapath,mean,17,1536,0.35,0.34920634920634913,0.3581196581196581
gigapath,mean,18,1536,0.55,0.5634920634920634,0.5346736596736598
gigapath,mean,19,1536,0.55,0.5634920634920634,0.5488215488215489
gigapath,mean,20,1536,0.45,0.4603174603174603,0.4444444444444444
gigapath,mean,21,1536,0.45,0.4603174603174603,0.44979203802733214
gigapath,mean,22,1536,0.55,0.5634920634920635,0.5445632798573975
gigapath,mean,23,1536,0.5,0.5158730158730158,0.49059011164274313
gigapath,mean,24,1536,0.45,0.4682539682539682,0.4185185185185185
gigapath,mean,25,1536,0.45,0.4603174603174603,0.4511784511784511
gigapath,mean,26,1536,0.45,0.4523809523809524,0.45384615384615384
gigapath,mean,27,1536,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean,28,1536,0.5,0.5158730158730158,0.483957219251337
gigapath,mean,29,1536,0.45,0.4603174603174603,0.4444444444444444
gigapath,mean,30,1536,0.45,0.4682539682539682,0.42962962962962964
gigapath,mean,31,1536,0.5,0.5158730158730158,0.483957219251337
gigapath,mean,32,1536,0.45,0.4603174603174603,0.4511784511784511
gigapath,mean,33,1536,0.6,0.6111111111111112,0.595068330362448
gigapath,mean,34,1536,0.5,0.5158730158730158,0.4851851851851852
gigapath,mean,35,1536,0.3,0.3095238095238095,0.29235209235209236
gigapath,mean,36,1536,0.4,0.4047619047619048,0.40277777777777773
gigapath,mean,37,1536,0.35,0.35714285714285715,0.34722222222222227
gigapath,mean,38,1536,0.45,0.4682539682539682,0.42278554778554783
gigapath,mean,39,1536,0.45,0.4603174603174603,0.44979203802733214
gigapath,mean,40,1536,0.4,0.4047619047619048,0.40938228438228436
gigapath,mean,41,1536,0.25,0.25396825396825395,0.2261904761904762
gigapath,mean,42,1536,0.35,0.35714285714285715,0.34722222222222227
gigapath,mean,43,1536,0.5,0.5079365079365079,0.494017094017094
gigapath,mean,44,1536,0.35,0.34920634920634913,0.3516483516483517
gigapath,mean,45,1536,0.45,0.4603174603174603,0.44172494172494176
gigapath,mean,46,1536,0.4,0.4047619047619048,0.40256410256410263
gigapath,mean,47,1536,0.45,0.4682539682539682,0.4161793372319688
gigapath,mean,48,1536,0.5,0.5079365079365079,0.4930069930069931
gigapath,mean,49,1536,0.45,0.4682539682539682,0.41659125188536955
gigapath,mean,50,1536,0.4,0.4047619047619048,0.40277777777777773
gigapath,mean_std,1,3072,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std,2,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,3,3072,0.5,0.5079365079365079,0.4601851851851852
gigapath,mean_std,4,3072,0.5,0.5079365079365079,0.48888888888888893
gigapath,mean_std,5,3072,0.45,0.4444444444444445,0.43210955710955706
gigapath,mean_std,6,3072,0.35,0.35714285714285715,0.3479853479853479
gigapath,mean_std,7,3072,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std,8,3072,0.3,0.30158730158730157,0.2914529914529915
gigapath,mean_std,9,3072,0.45,0.4603174603174603,0.43846153846153846
gigapath,mean_std,10,3072,0.4,0.4047619047619048,0.3968253968253968
gigapath,mean_std,11,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,12,3072,0.45,0.4523809523809524,0.42568542568542567
gigapath,mean_std,13,3072,0.45,0.4603174603174603,0.4166666666666667
gigapath,mean_std,14,3072,0.5,0.5079365079365079,0.5
gigapath,mean_std,15,3072,0.5,0.5079365079365079,0.4666666666666666
gigapath,mean_std,16,3072,0.45,0.4603174603174603,0.4365079365079365
gigapath,mean_std,17,3072,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std,18,3072,0.5,0.5079365079365079,0.4601851851851852
gigapath,mean_std,19,3072,0.45,0.4603174603174603,0.4222222222222222
gigapath,mean_std,20,3072,0.45,0.4523809523809524,0.4444444444444444
gigapath,mean_std,21,3072,0.4,0.4126984126984126,0.37777777777777777
gigapath,mean_std,22,3072,0.45,0.4523809523809524,0.4444444444444444
gigapath,mean_std,23,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,24,3072,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std,25,3072,0.4,0.4047619047619047,0.37777777777777777
gigapath,mean_std,26,3072,0.45,0.4523809523809524,0.4427350427350427
gigapath,mean_std,27,3072,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std,28,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,29,3072,0.4,0.4126984126984126,0.37379396202925613
gigapath,mean_std,30,3072,0.35,0.36507936507936506,0.33362193362193365
gigapath,mean_std,31,3072,0.45,0.4603174603174603,0.4222222222222222
gigapath,mean_std,32,3072,0.3,0.30158730158730157,0.2936507936507936
gigapath,mean_std,33,3072,0.5,0.5079365079365079,0.4666666666666666
gigapath,mean_std,34,3072,0.45,0.4603174603174603,0.4222222222222222
gigapath,mean_std,35,3072,0.35,0.36507936507936506,0.34017094017094013
gigapath,mean_std,36,3072,0.4,0.4047619047619048,0.39740259740259737
gigapath,mean_std,37,3072,0.5,0.5079365079365079,0.48888888888888893
gigapath,mean_std,38,3072,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std,39,3072,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std,40,3072,0.4,0.4047619047619047,0.37777777777777777
gigapath,mean_std,41,3072,0.35,0.34920634920634913,0.33362193362193365
gigapath,mean_std,42,3072,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std,43,3072,0.35,0.35714285714285715,0.3479853479853479
gigapath,mean_std,44,3072,0.4,0.39682539682539675,0.39145299145299145
gigapath,mean_std,45,3072,0.45,0.4523809523809524,0.44184704184704177
gigapath,mean_std,46,3072,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std,47,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,48,3072,0.5,0.5079365079365079,0.4601851851851852
gigapath,mean_std,49,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,50,3072,0.45,0.4523809523809524,0.41785714285714287
gigapath,mean_std_median,1,4608,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std_median,2,4608,0.4,0.4126984126984126,0.3814814814814815
gigapath,mean_std_median,3,4608,0.55,0.5634920634920634,0.5346736596736598
gigapath,mean_std_median,4,4608,0.5,0.5079365079365079,0.48946608946608955
gigapath,mean_std_median,5,4608,0.4,0.39682539682539675,0.39682539682539675
gigapath,mean_std_median,6,4608,0.35,0.35714285714285715,0.3412698412698412
gigapath,mean_std_median,7,4608,0.35,0.35714285714285715,0.3427350427350428
gigapath,mean_std_median,8,4608,0.3,0.30158730158730157,0.2914529914529915
gigapath,mean_std_median,9,4608,0.45,0.4523809523809524,0.4365079365079365
