split,model,k,full,top_k
1,gigapath,20,0.5,0.5
1,gigapath,50,0.5,0.5
1,gigapath,100,0.5,0.5
1,gigapath,200,0.5,0.5
1,gigapath,500,0.5,0.5
1,gigapath,1000,0.5,0.5
1,uni2,20,0.5,0.5
1,uni2,50,0.5,0.8333333333333334
1,uni2,100,0.5,0.8333333333333334
1,uni2,200,0.5,0.5
1,uni2,500,0.5,0.5
1,uni2,1000,0.5,0.5
1,virchow2,20,0.5,0.5
1,virchow2,50,0.5,0.5
1,virchow2,100,0.5,0.5
1,virchow2,200,0.5,0.5
1,virchow2,500,0.5,0.5
1,virchow2,1000,0.5,0.5
2,gigapath,20,0.5,0.6666666666666666
2,gigapath,50,0.5,0.5
2,gigapath,100,0.5,0.16666666666666666
2,gigapath,200,0.5,0.16666666666666666
2,gigapath,500,0.5,0.5
2,gigapath,1000,0.5,0.5
2,uni2,20,0.0,0.6666666666666666
2,uni2,50,0.0,0.16666666666666666
2,uni2,100,0.0,0.5
2,uni2,200,0.0,0.16666666666666666
2,uni2,500,0.0,0.0
2,uni2,1000,0.0,0.0
2,virchow2,20,0.16666666666666666,0.6666666666666666
2,virchow2,50,0.16666666666666666,0.5
2,virchow2,100,0.16666666666666666,0.16666666666666666
2,virchow2,200,0.16666666666666666,0.16666666666666666
2,virchow2,500,0.16666666666666666,0.16666666666666666
2,virchow2,1000,0.16666666666666666,0.16666666666666666
3,gigapath,20,0.16666666666666666,0.8333333333333334
3,gigapath,50,0.16666666666666666,0.5
3,gigapath,100,0.16666666666666666,0.5
3,gigapath,200,0.16666666666666666,0.5
3,gigapath,500,0.16666666666666666,0.5
3,gigapath,1000,0.16666666666666666,0.5
3,uni2,20,0.8333333333333334,0.3333333333333333
3,uni2,50,0.8333333333333334,0.6666666666666666
3,uni2,100,0.8333333333333334,0.8333333333333334
3,uni2,200,0.8333333333333334,0.8333333333333334
3,uni2,500,0.8333333333333334,0.8333333333333334
3,uni2,1000,0.8333333333333334,0.8333333333333334
3,virchow2,20,0.5,0.5
3,virchow2,50,0.5,0.5
3,virchow2,100,0.5,0.8333333333333334
3,virchow2,200,0.5,0.5
3,virchow2,500,0.5,0.5
3,virchow2,1000,0.5,0.5
4,gigapath,20,0.3333333333333333,0.3333333333333333
4,gigapath,50,0.3333333333333333,0.5
4,gigapath,100,0.3333333333333333,0.3333333333333333
4,gigapath,200,0.3333333333333333,0.3333333333333333
4,gigapath,500,0.3333333333333333,0.3333333333333333
4,gigapath,1000,0.3333333333333333,0.3333333333333333
4,uni2,20,0.3333333333333333,0.3333333333333333
4,uni2,50,0.3333333333333333,0.3333333333333333
4,uni2,100,0.3333333333333333,0.3333333333333333
4,uni2,200,0.3333333333333333,0.3333333333333333
4,uni2,500,0.3333333333333333,0.3333333333333333
4,uni2,1000,0.3333333333333333,0.3333333333333333
4,virchow2,20,0.3333333333333333,0.0
4,virchow2,50,0.3333333333333333,0.0
4,virchow2,100,0.3333333333333333,0.0
4,virchow2,200,0.3333333333333333,0.0
4,virchow2,500,0.3333333333333333,0.0
4,virchow2,1000,0.3333333333333333,0.3333333333333333
5,gigapath,20,0.5,0.8333333333333334
5,gigapath,50,0.5,0.16666666666666666
5,gigapath,100,0.5,0.5
5,gigapath,200,0.5,0.5
5,gigapath,500,0.5,0.5
5,gigapath,1000,0.5,0.5
5,uni2,20,0.5,0.5
5,uni2,50,0.5,0.8333333333333334
5,uni2,100,0.5,0.8333333333333334
5,uni2,200,0.5,0.5
5,uni2,500,0.5,0.5
5,uni2,1000,0.5,0.5
5,virchow2,20,0.16666666666666666,0.5
5,virchow2,50,0.16666666666666666,0.0
5,virchow2,100,0.16666666666666666,0.0
5,virchow2,200,0.16666666666666666,0.16666666666666666
5,virchow2,500,0.16666666666666666,0.16666666666666666
5,virchow2,1000,0.16666666666666666,0.16666666666666666
6,gigapath,20,0.3333333333333333,0.16666666666666666
6,gigapath,50,0.3333333333333333,0.3333333333333333
6,gigapath,100,0.3333333333333333,0.3333333333333333
6,gigapath,200,0.3333333333333333,0.3333333333333333
6,gigapath,500,0.3333333333333333,0.3333333333333333
6,gigapath,1000,0.3333333333333333,0.3333333333333333
6,uni2,20,0.3333333333333333,0.16666666666666666
6,uni2,50,0.3333333333333333,0.3333333333333333
6,uni2,100,0.3333333333333333,0.3333333333333333
6,uni2,200,0.3333333333333333,0.3333333333333333
6,uni2,500,0.3333333333333333,0.3333333333333333
6,uni2,1000,0.3333333333333333,0.3333333333333333
6,virchow2,20,0.16666666666666666,0.16666666666666666
6,virchow2,50,0.16666666666666666,0.16666666666666666
6,virchow2,100,0.16666666666666666,0.16666666666666666
6,virchow2,200,0.16666666666666666,0.16666666666666666
6,virchow2,500,0.16666666666666666,0.16666666666666666
6,virchow2,1000,0.16666666666666666,0.16666666666666666
7,gigapath,20,0.16666666666666666,0.6666666666666666
7,gigapath,50,0.16666666666666666,0.16666666666666666
7,gigapath,100,0.16666666666666666,0.16666666666666666
7,gigapath,200,0.16666666666666666,0.16666666666666666
7,gigapath,500,0.16666666666666666,0.16666666666666666
7,gigapath,1000,0.16666666666666666,0.16666666666666666
7,uni2,20,0.5,0.0
7,uni2,50,0.5,0.5
7,uni2,100,0.5,0.5
7,uni2,200,0.5,0.5
7,uni2,500,0.5,0.5
7,uni2,1000,0.5,0.5
7,virchow2,20,0.16666666666666666,0.16666666666666666
7,virchow2,50,0.16666666666666666,0.16666666666666666
7,virchow2,100,0.16666666666666666,0.16666666666666666
7,virchow2,200,0.16666666666666666,0.16666666666666666
7,virchow2,500,0.16666666666666666,0.16666666666666666
7,virchow2,1000,0.16666666666666666,0.16666666666666666
8,gigapath,20,0.5,0.3333333333333333
8,gigapath,50,0.5,0.3333333333333333
8,gigapath,100,0.5,0.3333333333333333
8,gigapath,200,0.5,0.3333333333333333
