model,repeat,accuracy,balanced_accuracy,macro_f1,train_balanced_accuracy
gigapath,1,0.5,0.5158730158730158,0.48821548821548816,1.0
gigapath,2,0.45,0.4603174603174603,0.44979203802733214,1.0
gigapath,3,0.55,0.5634920634920634,0.5395127748068925,1.0
gigapath,4,0.45,0.4523809523809524,0.4606643356643357,1.0
gigapath,5,0.45,0.4523809523809524,0.4542124542124542,1.0
gigapath,6,0.45,0.4603174603174603,0.4444444444444444,1.0
gigapath,7,0.4,0.4047619047619048,0.40938228438228436,1.0
gigapath,8,0.45,0.4603174603174603,0.4444444444444444,1.0
gigapath,9,0.55,0.5634920634920634,0.5395127748068925,1.0
gigapath,10,0.4,0.4047619047619048,0.39829059829059826,1.0
gigapath,11,0.5,0.5158730158730158,0.48821548821548816,1.0
gigapath,12,0.5,0.5158730158730158,0.47890671420083186,1.0
gigapath,13,0.45,0.4603174603174603,0.44979203802733214,1.0
gigapath,14,0.5,0.5158730158730158,0.483957219251337,1.0
gigapath,15,0.5,0.5079365079365079,0.5002970885323826,1.0
gigapath,16,0.55,0.5714285714285714,0.5157342657342657,1.0
gigapath,17,0.35,0.34920634920634913,0.3581196581196581,1.0
gigapath,18,0.55,0.5634920634920634,0.5346736596736598,1.0
gigapath,19,0.55,0.5634920634920634,0.5488215488215489,1.0
gigapath,20,0.45,0.4603174603174603,0.4444444444444444,1.0
gigapath,21,0.45,0.4603174603174603,0.44979203802733214,1.0
gigapath,22,0.55,0.5634920634920635,0.5445632798573975,1.0
gigapath,23,0.5,0.5158730158730158,0.49059011164274313,1.0
gigapath,24,0.45,0.4682539682539682,0.4185185185185185,1.0
gigapath,25,0.45,0.4603174603174603,0.4511784511784511,1.0
gigapath,26,0.45,0.4523809523809524,0.45384615384615384,1.0
gigapath,27,0.4,0.4126984126984126,0.3811188811188811,1.0
gigapath,28,0.5,0.5158730158730158,0.483957219251337,1.0
gigapath,29,0.45,0.4603174603174603,0.4444444444444444,1.0
gigapath,30,0.45,0.4682539682539682,0.42962962962962964,1.0
gigapath,31,0.5,0.5158730158730158,0.483957219251337,1.0
gigapath,32,0.45,0.4603174603174603,0.4511784511784511,1.0
gigapath,33,0.6,0.6111111111111112,0.595068330362448,1.0
gigapath,34,0.5,0.5158730158730158,0.4851851851851852,1.0
gigapath,35,0.3,0.3095238095238095,0.29235209235209236,1.0
gigapath,36,0.4,0.4047619047619048,0.40277777777777773,1.0
gigapath,37,0.35,0.35714285714285715,0.34722222222222227,1.0
gigapath,38,0.45,0.4682539682539682,0.42278554778554783,1.0
gigapath,39,0.45,0.4603174603174603,0.44979203802733214,1.0
gigapath,40,0.4,0.4047619047619048,0.40938228438228436,1.0
gigapath,41,0.25,0.25396825396825395,0.2261904761904762,1.0
gigapath,42,0.35,0.35714285714285715,0.34722222222222227,1.0
gigapath,43,0.5,0.5079365079365079,0.494017094017094,1.0
gigapath,44,0.35,0.34920634920634913,0.3516483516483517,1.0
gigapath,45,0.45,0.4603174603174603,0.44172494172494176,1.0
gigapath,46,0.4,0.4047619047619048,0.40256410256410263,1.0
gigapath,47,0.45,0.4682539682539682,0.4161793372319688,1.0
gigapath,48,0.5,0.5079365079365079,0.4930069930069931,1.0
gigapath,49,0.45,0.4682539682539682,0.41659125188536955,1.0
gigapath,50,0.4,0.4047619047619048,0.40277777777777773,1.0
uni_v2,1,0.45,0.4523809523809524,0.45054945054945056,1.0
uni_v2,2,0.55,0.5476190476190476,0.5555555555555555,1.0
uni_v2,3,0.55,0.5555555555555555,0.5495726495726495,1.0
uni_v2,4,0.45,0.4444444444444444,0.4447415329768271,1.0
uni_v2,5,0.5,0.5,0.5051282051282051,1.0
uni_v2,6,0.55,0.5555555555555556,0.5494505494505494,1.0
uni_v2,7,0.45,0.4523809523809524,0.45054945054945056,1.0
uni_v2,8,0.5,0.5079365079365079,0.5018315018315019,1.0
uni_v2,9,0.6,0.6031746031746031,0.5952380952380952,1.0
uni_v2,10,0.45,0.4603174603174603,0.44688644688644685,1.0
uni_v2,11,0.6,0.611111111111111,0.6007326007326007,1.0
uni_v2,12,0.5,0.5,0.5018315018315019,1.0
uni_v2,13,0.45,0.4603174603174603,0.45483405483405476,1.0
uni_v2,14,0.55,0.5555555555555556,0.5494505494505494,1.0
uni_v2,15,0.5,0.5079365079365079,0.494017094017094,1.0
uni_v2,16,0.45,0.4523809523809524,0.4523809523809524,1.0
uni_v2,17,0.5,0.5,0.5018315018315019,1.0
uni_v2,18,0.45,0.4523809523809524,0.44688644688644685,1.0
uni_v2,19,0.5,0.5079365079365079,0.5,1.0
uni_v2,20,0.45,0.4603174603174603,0.447008547008547,1.0
uni_v2,21,0.55,0.5555555555555556,0.5494505494505494,1.0
uni_v2,22,0.5,0.5079365079365079,0.5,1.0
uni_v2,23,0.55,0.5555555555555556,0.5494505494505494,1.0
uni_v2,24,0.55,0.5634920634920635,0.5457875457875457,1.0
uni_v2,25,0.5,0.5,0.5018315018315019,1.0
uni_v2,26,0.55,0.5634920634920635,0.5427350427350427,1.0
uni_v2,27,0.5,0.5158730158730158,0.49206349206349204,1.0
uni_v2,28,0.6,0.611111111111111,0.6007326007326007,1.0
uni_v2,29,0.65,0.6587301587301587,0.6421356421356421,1.0
uni_v2,30,0.5,0.5158730158730159,0.4862914862914863,1.0
uni_v2,31,0.45,0.4603174603174603,0.44688644688644685,1.0
uni_v2,32,0.55,0.5555555555555556,0.5495726495726495,1.0
uni_v2,33,0.45,0.4603174603174603,0.4542124542124542,1.0
uni_v2,34,0.45,0.4523809523809524,0.45384615384615384,1.0
uni_v2,35,0.35,0.34920634920634924,0.35353535353535354,1.0
uni_v2,36,0.5,0.5079365079365079,0.494017094017094,1.0
uni_v2,37,0.6,0.611111111111111,0.594017094017094,1.0
uni_v2,38,0.45,0.4523809523809524,0.44688644688644685,1.0
uni_v2,39,0.55,0.5634920634920635,0.5427350427350427,1.0
uni_v2,40,0.6,0.6031746031746031,0.6007326007326007,1.0
uni_v2,41,0.4,0.39682539682539675,0.402930402930403,1.0
uni_v2,42,0.45,0.4523809523809524,0.44688644688644685,1.0
uni_v2,43,0.55,0.5555555555555556,0.5494505494505494,1.0
uni_v2,44,0.5,0.5,0.5018315018315019,1.0
uni_v2,45,0.5,0.5,0.48717948717948717,1.0
uni_v2,46,0.6,0.6031746031746031,0.6007326007326007,1.0
uni_v2,47,0.5,0.5079365079365079,0.5,1.0
uni_v2,48,0.5,0.5,0.5051282051282051,1.0
uni_v2,49,0.35,0.35714285714285715,0.3479853479853479,1.0
uni_v2,50,0.5,0.5079365079365079,0.48946608946608955,1.0
virchow2,1,0.4,0.3968253968253968,0.402930402930403,1.0
virchow2,2,0.3,0.30158730158730157,0.30952380952380953,1.0
virchow2,3,0.5,0.5,0.5,1.0
virchow2,4,0.5,0.5,0.5018315018315018,1.0
virchow2,5,0.4,0.38888888888888884,0.3821428571428571,1.0
virchow2,6,0.45,0.4523809523809524,0.4523809523809524,1.0
virchow2,7,0.4,0.4047619047619048,0.40938228438228436,1.0
virchow2,8,0.5,0.5,0.5,1.0
virchow2,9,0.6,0.6031746031746031,0.6007326007326007,1.0
virchow2,10,0.35,0.34920634920634913,0.35384615384615387,1.0
virchow2,11,0.4,0.4047619047619048,0.40119047619047626,1.0
virchow2,12,0.5,0.5,0.5056277056277056,1.0
virchow2,13,0.45,0.4603174603174603,0.44184704184704177,1.0
virchow2,14,0.5,0.5,0.5018315018315018,1.0
virchow2,15,0.5,0.5,0.5018315018315018,1.0
virchow2,16,0.35,0.34920634920634913,0.34920634920634913,1.0
virchow2,17,0.45,0.4523809523809524,0.45384615384615384,1.0
virchow2,18,0.55,0.5555555555555556,0.5555555555555556,1.0
virchow2,19,0.5,0.5,0.5018315018315018,1.0
virchow2,20,0.45,0.4523809523809524,0.4523809523809524,1.0
virchow2,21,0.4,0.4047619047619048,0.40005827505827507,1.0
virchow2,22,0.35,0.34920634920634913,0.3516483516483517,1.0
virchow2,23,0.45,0.4603174603174603,0.4427350427350427,1.0
virchow2,24,0.45,0.4603174603174603,0.44502164502164504,1.0
virchow2,25,0.45,0.4523809523809524,0.45384615384615384,1.0
virchow2,26,0.45,0.4603174603174603,0.44172494172494176,1.0
virchow2,27,0.4,0.4047619047619048,0.39829059829059826,1.0
virchow2,28,0.3,0.30158730158730157,0.30158730158730157,1.0
virchow2,29,0.55,0.5555555555555555,0.5555555555555555,1.0
virchow2,30,0.45,0.4523809523809524,0.45384615384615384,1.0
virchow2,31,0.6,0.611111111111111,0.5972222222222222,1.0
virchow2,32,0.5,0.5,0.5018315018315018,1.0
virchow2,33,0.6,0.5952380952380952,0.5976911976911977,1.0
virchow2,34,0.4,0.38888888888888884,0.3957264957264957,1.0
virchow2,35,0.4,0.4047619047619047,0.40256410256410263,1.0
virchow2,36,0.35,0.34920634920634913,0.34700854700854705,1.0
virchow2,37,0.35,0.35714285714285715,0.33945221445221446,1.0
virchow2,38,0.35,0.35714285714285715,0.3367965367965368,1.0
virchow2,39,0.5,0.5079365079365079,0.5,1.0
virchow2,40,0.5,0.5079365079365079,0.49206349206349204,1.0
