repeat,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
1,0.3,0.30952380952380953,0.25833333333333336,0.15,0.14285714285714285,0.12535612535612536
2,0.25,0.24603174603174602,0.2253968253968254,0.25,0.23809523809523805,0.2078272604588394
3,0.4,0.4047619047619048,0.33893557422969184,0.3,0.2857142857142857,0.24812030075187966
4,0.4,0.39682539682539675,0.39044289044289043,0.3,0.2857142857142857,0.24444444444444446
5,0.45,0.4444444444444445,0.43210955710955706,0.35,0.3333333333333333,0.27777777777777773
6,0.4,0.41269841269841273,0.33464052287581697,0.15,0.14285714285714285,0.12169312169312169
7,0.3,0.30158730158730157,0.2594268476621418,0.3,0.2857142857142857,0.25396825396825395
8,0.35,0.34920634920634913,0.3298368298368299,0.25,0.23809523809523805,0.20050125313283207
9,0.45,0.4523809523809524,0.41659125188536955,0.25,0.23809523809523805,0.19907407407407407
10,0.3,0.30158730158730157,0.2594268476621418,0.15,0.14285714285714285,0.12169312169312169
11,0.45,0.4603174603174603,0.4238095238095238,0.35,0.3412698412698412,0.33968253968253964
12,0.35,0.34920634920634924,0.2986425339366516,0.3,0.2857142857142857,0.23611111111111108
13,0.3,0.30158730158730157,0.2869592281356987,0.3,0.2857142857142857,0.25396825396825395
14,0.3,0.30158730158730157,0.2891774891774892,0.3,0.2857142857142857,0.24338624338624337
15,0.4,0.4047619047619047,0.3761904761904762,0.3,0.2857142857142857,0.24019607843137256
16,0.45,0.4603174603174603,0.4324009324009324,0.25,0.23809523809523805,0.19607843137254902
17,0.3,0.30952380952380953,0.25833333333333336,0.2,0.19047619047619047,0.16944444444444443
18,0.45,0.4523809523809524,0.41659125188536955,0.3,0.2857142857142857,0.23859649122807017
19,0.35,0.35714285714285715,0.29971988795518206,0.25,0.23809523809523805,0.20653594771241832
20,0.35,0.3412698412698412,0.33589743589743587,0.35,0.3333333333333333,0.2832080200501253
21,0.25,0.25396825396825395,0.22023809523809523,0.25,0.23809523809523805,0.20634920634920637
22,0.3,0.30158730158730157,0.2594268476621418,0.15,0.14285714285714285,0.12169312169312169
23,0.35,0.35714285714285715,0.3,0.25,0.23809523809523805,0.20098039215686278
24,0.35,0.34920634920634913,0.33362193362193365,0.3,0.2857142857142857,0.25396825396825395
25,0.25,0.25396825396825395,0.22857142857142856,0.25,0.23809523809523805,0.20634920634920637
26,0.3,0.30158730158730157,0.2891774891774892,0.25,0.23809523809523805,0.21367521367521367
27,0.4,0.4047619047619047,0.37777777777777777,0.3,0.2857142857142857,0.24264705882352944
28,0.3,0.30952380952380953,0.25833333333333336,0.25,0.23809523809523805,0.21176470588235294
29,0.4,0.4126984126984126,0.37407407407407406,0.3,0.2857142857142857,0.23703703703703702
30,0.35,0.35714285714285715,0.3367965367965368,0.2,0.19047619047619047,0.15555555555555556
31,0.4,0.4126984126984126,0.3768518518518518,0.2,0.19047619047619047,0.15555555555555556
32,0.3,0.29365079365079366,0.27302436125965535,0.15,0.14285714285714285,0.12009803921568628
33,0.4,0.3968253968253968,0.36779560308972076,0.4,0.38095238095238093,0.3137254901960784
34,0.4,0.41269841269841273,0.33464052287581697,0.2,0.19047619047619047,0.1593137254901961
35,0.2,0.20634920634920637,0.19999999999999998,0.15,0.14285714285714285,0.09523809523809523
36,0.4,0.4047619047619047,0.3761904761904762,0.35,0.3333333333333333,0.2941970310391363
37,0.3,0.30158730158730157,0.2594268476621418,0.25,0.23809523809523805,0.20130718954248364
38,0.4,0.4047619047619048,0.3968253968253968,0.2,0.19047619047619047,0.16176470588235295
39,0.3,0.30952380952380953,0.26666666666666666,0.15,0.14285714285714285,0.12009803921568628
40,0.3,0.29365079365079366,0.2846153846153846,0.2,0.19047619047619047,0.1693121693121693
41,0.25,0.24603174603174602,0.21794871794871795,0.2,0.19047619047619047,0.16666666666666666
42,0.3,0.30158730158730157,0.2891774891774892,0.15,0.14285714285714285,0.12254901960784315
43,0.35,0.34920634920634913,0.33589743589743587,0.3,0.2857142857142857,0.22954822954822954
44,0.25,0.25396825396825395,0.2261904761904762,0.15,0.14285714285714285,0.12535612535612536
45,0.3,0.30158730158730157,0.2594268476621418,0.4,0.38095238095238093,0.3235294117647059
46,0.25,0.25396825396825395,0.23589743589743592,0.2,0.19047619047619047,0.1693121693121693
47,0.35,0.35714285714285715,0.3,0.3,0.2857142857142857,0.23148148148148148
48,0.4,0.3968253968253968,0.3715034965034965,0.2,0.19047619047619047,0.16296296296296295
49,0.35,0.35714285714285715,0.3,0.15,0.15079365079365079,0.16699346405228757
50,0.3,0.30158730158730157,0.2619047619047619,0.2,0.19047619047619047,0.16666666666666666
