repeat,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
1,0.3,0.30158730158730157,0.2914529914529915,0.4,0.39682539682539675,0.4124183006535948
2,0.3,0.30158730158730157,0.30256410256410254,0.3,0.29365079365079366,0.2869047619047619
3,0.4,0.39682539682539675,0.3952380952380952,0.3,0.30158730158730157,0.321817615935263
4,0.4,0.39682539682539675,0.3942279942279942,0.4,0.39682539682539675,0.3996101364522417
5,0.45,0.4444444444444444,0.45092592592592595,0.4,0.38888888888888884,0.37710084033613445
6,0.5,0.5,0.5,0.35,0.34920634920634913,0.34757834757834755
7,0.4,0.4047619047619047,0.3888888888888889,0.3,0.30158730158730157,0.27777777777777773
8,0.4,0.42063492063492064,0.34722222222222215,0.3,0.30158730158730157,0.26936026936026936
9,0.5,0.5,0.49629629629629624,0.45,0.4523809523809524,0.4592592592592592
10,0.2,0.20634920634920637,0.19145299145299144,0.3,0.29365079365079366,0.2735042735042735
11,0.45,0.4523809523809524,0.447008547008547,0.45,0.4444444444444445,0.4358974358974359
12,0.55,0.5555555555555556,0.5494505494505494,0.4,0.39682539682539675,0.4124183006535948
13,0.4,0.4047619047619048,0.39926739926739924,0.3,0.29365079365079366,0.28518518518518515
14,0.3,0.30158730158730157,0.25925925925925924,0.35,0.34920634920634913,0.328579916815211
15,0.45,0.4523809523809524,0.44184704184704177,0.3,0.30158730158730157,0.2736842105263158
16,0.25,0.24603174603174602,0.24074074074074073,0.35,0.34920634920634913,0.35555555555555557
17,0.45,0.4523809523809524,0.4427350427350427,0.35,0.34920634920634913,0.32996632996632996
18,0.4,0.4126984126984126,0.394017094017094,0.3,0.29365079365079366,0.27910052910052907
19,0.4,0.4047619047619047,0.3773755656108597,0.2,0.20634920634920637,0.21176470588235294
20,0.45,0.4444444444444444,0.4444444444444445,0.25,0.24603174603174605,0.25
21,0.4,0.39682539682539675,0.39044289044289043,0.45,0.4444444444444444,0.44285714285714284
22,0.3,0.30158730158730157,0.30533910533910535,0.3,0.30158730158730157,0.302262443438914
23,0.4,0.4126984126984126,0.394017094017094,0.3,0.30158730158730157,0.27807486631016043
24,0.4,0.4047619047619048,0.39926739926739924,0.35,0.34920634920634913,0.34757834757834755
25,0.35,0.35714285714285715,0.3427350427350428,0.45,0.4523809523809524,0.47293447293447294
26,0.45,0.4603174603174603,0.4288600288600289,0.25,0.24603174603174605,0.24790764790764788
27,0.4,0.4047619047619048,0.3968253968253968,0.4,0.39682539682539675,0.3927601809954751
28,0.35,0.36507936507936506,0.3301282051282051,0.3,0.30158730158730157,0.2814814814814815
29,0.5,0.5079365079365079,0.4930069930069931,0.45,0.4523809523809524,0.4592592592592592
30,0.35,0.35714285714285715,0.35353535353535354,0.2,0.20634920634920637,0.20683760683760685
31,0.5,0.5079365079365079,0.5,0.45,0.4523809523809524,0.4743230625583566
32,0.45,0.4523809523809524,0.45384615384615384,0.35,0.34920634920634913,0.35829959514170034
33,0.5,0.5,0.5154761904761904,0.45,0.4523809523809524,0.4619047619047619
34,0.4,0.3968253968253968,0.402930402930403,0.3,0.30158730158730157,0.30256410256410254
35,0.35,0.35714285714285715,0.36594516594516596,0.25,0.25396825396825395,0.28954248366013075
36,0.35,0.34920634920634913,0.34978354978354975,0.35,0.34920634920634913,0.35555555555555557
37,0.35,0.34920634920634913,0.3333333333333333,0.35,0.34920634920634913,0.32996632996632996
38,0.3,0.29365079365079366,0.2748114630467572,0.35,0.34920634920634913,0.333630421865716
39,0.3,0.30158730158730157,0.3119047619047619,0.35,0.34920634920634913,0.36103330220977287
40,0.4,0.4126984126984126,0.3844155844155844,0.5,0.5,0.5087719298245613
41,0.3,0.29365079365079366,0.2846153846153846,0.3,0.29365079365079366,0.28986928104575166
42,0.4,0.39682539682539675,0.3927601809954751,0.45,0.4523809523809524,0.47293447293447294
43,0.35,0.35714285714285715,0.3553113553113553,0.4,0.3968253968253968,0.4055258467023173
44,0.35,0.34920634920634913,0.34920634920634913,0.4,0.4047619047619048,0.40277777777777773
45,0.45,0.4603174603174603,0.42865761689291104,0.35,0.34920634920634913,0.34757834757834755
46,0.45,0.4523809523809524,0.45942684766214176,0.4,0.39682539682539675,0.40958164642375167
47,0.25,0.25396825396825395,0.2490842490842491,0.4,0.39682539682539675,0.39044289044289043
48,0.45,0.4523809523809524,0.44688644688644685,0.35,0.34920634920634913,0.333630421865716
49,0.25,0.2619047619047619,0.23809523809523805,0.2,0.20634920634920637,0.19444444444444442
50,0.35,0.3412698412698412,0.3074074074074074,0.35,0.34920634920634924,0.30687830687830686
